run,scenario,channel,variant,first,detect,early,false,lead
111,abrupt,severity,severity_only,24.0,True,True,False,0.0
111,abrupt,severity,external_only,24.0,True,True,False,0.0
111,abrupt,severity,internal_only,24.0,True,True,False,0.0
111,abrupt,severity,prism,24.0,True,True,False,0.0
112,abrupt,severity,severity_only,24.0,True,True,False,0.0
112,abrupt,severity,external_only,24.0,True,True,False,0.0
112,abrupt,severity,internal_only,24.0,True,True,False,0.0
112,abrupt,severity,prism,24.0,True,True,False,0.0
113,abrupt,severity,severity_only,24.0,True,True,False,0.0
113,abrupt,severity,external_only,24.0,True,True,False,0.0
113,abrupt,severity,internal_only,24.0,True,True,False,0.0
113,abrupt,severity,prism,24.0,True,True,False,0.0
114,abrupt,severity,severity_only,24.0,True,True,False,0.0
114,abrupt,severity,external_only,24.0,True,True,False,0.0
114,abrupt,severity,internal_only,24.0,True,True,False,0.0
114,abrupt,severity,prism,24.0,True,True,False,0.0
115,abrupt,severity,severity_only,24.0,True,True,False,0.0
115,abrupt,severity,external_only,24.0,True,True,False,0.0
115,abrupt,severity,internal_only,24.0,True,True,False,0.0
115,abrupt,severity,prism,24.0,True,True,False,0.0
116,abrupt,severity,severity_only,8.0,False,False,True,
116,abrupt,severity,external_only,7.0,False,False,True,
116,abrupt,severity,internal_only,8.0,False,False,True,
116,abrupt,severity,prism,7.0,False,False,True,
117,abrupt,severity,severity_only,24.0,True,True,False,0.0
117,abrupt,severity,external_only,24.0,True,True,False,0.0
117,abrupt,severity,internal_only,24.0,True,True,False,0.0
117,abrupt,severity,prism,24.0,True,True,False,0.0
118,abrupt,severity,severity_only,24.0,True,True,False,0.0
118,abrupt,severity,external_only,24.0,True,True,False,0.0
118,abrupt,severity,internal_only,24.0,True,True,False,0.0
118,abrupt,severity,prism,24.0,True,True,False,0.0
119,abrupt,severity,severity_only,24.0,True,True,False,0.0
119,abrupt,severity,external_only,24.0,True,True,False,0.0
119,abrupt,severity,internal_only,24.0,True,True,False,0.0
119,abrupt,severity,prism,24.0,True,True,False,0.0
120,abrupt,severity,severity_only,24.0,True,True,False,0.0
120,abrupt,severity,external_only,24.0,True,True,False,0.0
120,abrupt,severity,internal_only,24.0,True,True,False,0.0
120,abrupt,severity,prism,24.0,True,True,False,0.0
121,abrupt,severity,severity_only,24.0,True,True,False,0.0
121,abrupt,severity,external_only,24.0,True,True,False,0.0
121,abrupt,severity,internal_only,24.0,True,True,False,0.0
121,abrupt,severity,prism,24.0,True,True,False,0.0
122,abrupt,severity,severity_only,7.0,False,False,True,
122,abrupt,severity,external_only,6.0,False,False,True,
122,abrupt,severity,internal_only,7.0,False,False,True,
122,abrupt,severity,prism,6.0,False,False,True,
123,abrupt,severity,severity_only,24.0,True,True,False,0.0
